city,time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code,latitude,longitude
gabala,2026-04-22,15.2,5.7,9.9,0.0,0.0,0.0,11.3,25.6,82,1011.9,51,19.36,13.8,51,40.98,47.84
gabala,2026-04-23,18.5,8.6,13.3,1.9,0.0,0.0,10.7,35.3,67,1008.5,35,24.42,18.6,95,40.98,47.84
gabala,2026-04-24,16.3,9.1,12.1,0.0,0.0,0.0,12.6,27.7,81,1008.6,51,21.94,16.0,45,40.98,47.84
gabala,2026-04-25,14.7,7.5,10.7,0.0,0.0,0.0,15.3,30.2,82,1017.0,88,18.77,13.5,3,40.98,47.84
gabala,2026-04-26,16.1,7.0,11.5,0.0,0.0,0.0,5.8,15.3,83,1014.3,82,16.98,15.7,3,40.98,47.84
gabala,2026-04-27,21.3,10.0,14.9,3.7,1.0,0.0,15.8,33.8,73,1003.8,61,23.74,22.6,81,40.98,47.84
gadabay,2026-04-21,6.5,1.8,4.1,7.0,5.9,0.14,5.0,18.7,92,1012.6,100,8.05,4.8,80,40.57,45.81
gadabay,2026-04-22,14.3,0.6,7.3,0.0,0.0,0.0,21.7,48.2,69,1012.1,26,26.72,10.9,45,40.57,45.81
gadabay,2026-04-23,15.6,2.8,9.4,0.0,0.0,0.0,23.8,53.6,62,1008.3,24,24.69,11.9,3,40.57,45.81
gadabay,2026-04-24,14.1,3.9,8.2,0.7,0.0,0.0,15.9,54.7,72,1009.4,61,22.5,12.3,3,40.57,45.81
gadabay,2026-04-25,13.8,3.3,8.1,0.3,0.0,0.0,9.5,28.1,76,1017.0,82,22.71,13.5,3,40.57,45.81
gadabay,2026-04-26,16.9,4.5,10.1,6.15,0.0,0.0,6.8,26.9,80,1013.6,89,18.18,16.8,95,40.57,45.81
gadabay,2026-04-27,16.5,4.3,10.0,11.8,5.8,0.0,11.3,34.6,79,1006.0,89,14.28,15.1,95,40.57,45.81
gakh,2026-04-21,9.3,6.4,7.9,38.3,37.9,0.0,8.8,24.5,94,1013.6,96,4.41,8.7,63,41.42,46.92
gakh,2026-04-22,16.5,5.2,10.6,0.0,0.0,0.0,9.7,23.0,70,1011.9,7,25.35,14.7,2,41.42,46.92
gakh,2026-04-23,20.1,8.9,13.8,4.8,0.0,0.0,10.5,24.5,64,1007.9,20,24.73,20.4,95,41.42,46.92
gakh,2026-04-24,14.2,10.1,11.7,2.9,0.2,0.0,17.1,39.2,87,1009.5,94,14.47,12.8,80,41.42,46.92
gakh,2026-04-25,17.5,9.2,12.5,4.6,4.2,0.0,10.7,30.6,67,1016.7,53,24.38,17.7,61,41.42,46.92
gakh,2026-04-26,17.8,7.6,11.9,0.0,0.0,0.0,6.8,19.8,80,1014.7,92,17.07,17.4,45,41.42,46.92
gakh,2026-04-27,22.4,8.4,14.5,2.3,1.3,0.0,16.5,33.1,78,1004.0,74,21.73,23.0,80,41.42,46.92
ganja,2026-04-21,11.8,8.5,10.1,13.2,13.2,0.0,10.2,19.4,87,1013.0,97,8.19,10.8,63,40.68,46.36
ganja,2026-04-22,18.7,7.0,12.9,0.0,0.0,0.0,9.1,17.6,72,1012.1,16,25.33,18.3,3,40.68,46.36
ganja,2026-04-23,21.2,9.5,15.4,0.0,0.0,0.0,19.7,35.3,72,1007.3,23,24.42,20.6,3,40.68,46.36
ganja,2026-04-24,16.3,10.8,13.0,0.0,0.0,0.0,31.2,60.5,63,1010.2,74,19.81,11.9,45,40.68,46.36
ganja,2026-04-25,19.5,8.5,13.4,0.0,0.0,0.0,19.3,38.5,60,1017.4,48,23.63,18.6,3,40.68,46.36
ganja,2026-04-26,16.4,8.3,12.1,0.3,0.3,0.0,12.4,30.2,83,1014.8,98,15.99,16.0,3,40.68,46.36
ganja,2026-04-27,20.3,9.3,14.0,3.5,0.4,0.0,13.1,40.0,69,1005.2,76,17.8,19.8,80,40.68,46.36
gazakh,2026-04-21,11.8,9.2,10.2,5.6,5.6,0.0,8.6,14.8,83,1013.1,97,9.81,10.3,61,41.09,45.37
gazakh,2026-04-22,19.0,6.4,12.6,0.0,0.0,0.0,13.1,23.8,71,1012.2,27,25.31,17.5,3,41.09,45.37
gazakh,2026-04-23,21.4,9.3,14.9,1.1,0.0,0.0,16.3,29.5,64,1007.5,28,23.92,20.2,80,41.09,45.37
gazakh,2026-04-24,11.9,9.5,10.9,5.6,3.3,0.0,11.4,23.4,72,1011.9,91,11.39,10.6,80,41.09,45.37
gazakh,2026-04-25,18.8,8.6,13.2,4.0,3.6,0.0,14.3,26.6,65,1017.6,59,25.28,16.7,61,41.09,45.37
gazakh,2026-04-26,16.6,9.1,12.6,0.9,0.9,0.0,5.7,15.5,84,1014.8,79,15.39,16.3,55,41.09,45.37
gazakh,2026-04-27,17.3,8.5,12.6,2.0,1.1,0.0,26.1,43.6,74,1006.6,84,13.51,16.0,80,41.09,45.37
gobustan,2026-04-21,9.0,5.9,7.0,13.4,12.5,0.0,14.4,28.4,87,1013.5,98,7.74,7.1,63,40.53,48.93
gobustan,2026-04-22,13.9,5.7,9.6,0.0,0.0,0.0,27.1,57.6,80,1011.3,63,23.97,11.3,51,40.53,48.93
gobustan,2026-04-23,15.8,7.8,11.5,0.0,0.0,0.0,17.3,43.6,76,1008.8,44,25.01,15.9,45,40.53,48.93
gobustan,2026-04-24,13.9,6.6,10.1,0.0,0.0,0.0,23.8,46.4,88,1008.8,51,17.37,10.4,45,40.53,48.93
gobustan,2026-04-25,11.9,5.5,8.4,0.0,0.0,0.0,10.8,27.0,88,1017.9,79,11.54,10.1,51,40.53,48.93
gobustan,2026-04-26,14.2,5.4,10.1,0.0,0.0,0.0,13.0,38.2,79,1014.2,91,17.79,12.8,45,40.53,48.93
gobustan,2026-04-27,22.2,9.5,15.0,1.6,0.0,0.0,16.0,29.9,79,1003.8,52,25.18,21.9,80,40.53,48.93
goranboy,2026-04-21,13.5,9.9,11.5,11.2,10.6,0.0,24.6,45.4,82,1013.0,96,8.94,10.9,63,40.61,46.79
goranboy,2026-04-22,20.6,9.4,14.6,0.0,0.0,0.0,11.3,21.2,70,1011.7,13,25.31,20.3,3,40.61,46.79
goranboy,2026-04-23,22.1,9.4,16.0,0.0,0.0,0.0,26.0,47.2,77,1007.5,36,24.1,22.1,3,40.61,46.79
goranboy,2026-04-24,19.1,11.9,14.5,0.0,0.0,0.0,32.9,62.3,63,1009.7,67,21.0,15.8,3,40.61,46.79
goranboy,2026-04-25,21.2,10.5,15.1,0.0,0.0,0.0,29.7,54.7,54,1017.1,47,22.15,20.5,3,40.61,46.79
goranboy,2026-04-26,18.4,9.4,13.6,0.0,0.0,0.0,17.3,34.9,77,1014.7,87,15.99,17.8,3,40.61,46.79
goranboy,2026-04-27,23.3,11.1,16.0,1.0,0.7,0.0,30.7,67.0,68,1004.5,64,19.29,24.2,61,40.61,46.79
gorgan,2026-04-21,14.6,12.5,13.6,3.6,3.2,0.0,7.9,20.5,94,1012.5,99,3.78,15.1,80,36.84,54.44
gorgan,2026-04-22,14.4,12.3,13.1,0.1,0.0,0.0,5.0,10.1,94,1013.9,81,2.91,15.1,51,36.84,54.44
gorgan,2026-04-23,26.3,10.3,18.8,0.0,0.0,0.0,11.6,24.1,57,1008.9,3,26.72,27.0,1,36.84,54.44
gorgan,2026-04-24,26.9,15.7,21.0,0.0,0.0,0.0,15.1,28.4,46,1009.0,1,26.43,27.4,1,36.84,54.44
gorgan,2026-04-25,21.8,14.3,18.4,0.0,0.0,0.0,18.6,38.5,68,1017.1,66,20.71,22.5,45,36.84,54.44
gorgan,2026-04-26,21.9,13.5,16.7,0.0,0.0,0.0,11.2,23.0,85,1013.8,93,15.98,22.6,45,36.84,54.44
gorgan,2026-04-27,30.7,12.2,20.7,0.0,0.0,0.0,13.8,26.6,74,1003.6,52,24.7,31.7,45,36.84,54.44
goychay,2026-04-21,12.8,9.8,11.2,27.5,26.4,0.0,10.5,23.4,93,1013.5,98,5.3,12.6,63,40.65,47.74
goychay,2026-04-22,20.2,8.5,13.8,0.0,0.0,0.0,17.7,31.7,75,1011.7,36,23.67,18.8,45,40.65,47.74
goychay,2026-04-23,22.2,10.4,15.6,0.0,0.0,0.0,20.6,36.7,71,1008.0,27,24.12,22.9,3,40.65,47.74
goychay,2026-04-24,20.7,11.2,14.8,0.0,0.0,0.0,21.2,41.4,74,1008.9,67,15.8,18.5,3,40.65,47.74
goychay,2026-04-25,18.3,10.6,13.7,0.0,0.0,0.0,23.7,57.2,66,1017.1,68,18.1,16.5,3,40.65,47.74
goychay,2026-04-26,18.8,8.5,13.5,0.0,0.0,0.0,7.6,18.7,77,1014.6,89,18.05,18.9,3,40.65,47.74
goychay,2026-04-27,24.8,10.6,16.5,5.9,0.1,0.0,29.2,63.0,75,1003.7,61,23.18,26.2,81,40.65,47.74
goygol,2026-04-21,9.5,6.9,8.1,21.5,21.2,0.0,7.7,15.8,92,1013.2,100,6.2,8.3,63,40.59,46.32
goygol,2026-04-22,16.4,5.8,11.4,0.0,0.0,0.0,10.9,23.0,76,1012.4,21,24.78,15.9,3,40.59,46.32
goygol,2026-04-23,19.5,9.8,14.7,0.6,0.0,0.0,11.3,27.4,65,1007.6,23,24.0,20.3,3,40.59,46.32
goygol,2026-04-24,14.7,9.2,11.7,0.0,0.0,0.0,20.8,41.8,67,1010.3,63,21.95,12.5,45,40.59,46.32
goygol,2026-04-25,17.0,7.2,11.7,0.0,0.0,0.0,13.7,29.9,66,1017.6,53,23.08,15.0,45,40.59,46.32
goygol,2026-04-26,14.6,8.4,11.3,0.3,0.3,0.0,5.3,16.5,87,1014.6,99,15.91,14.0,45,40.59,46.32
goygol,2026-04-27,18.7,7.7,12.4,3.5,0.4,0.0,13.1,40.0,69,1005.2,76,17.8,17.7,80,40.59,46.32
gubadli,2026-04-21,10.7,7.8,9.3,10.2,9.0,0.0,12.5,24.8,88,1012.9,100,7.07,9.0,80,39.34,46.58
gubadli,2026-04-22,19.1,7.8,13.0,0.2,0.0,0.0,14.6,31.7,79,1012.5,43,24.68,18.9,45,39.34,46.58
gubadli,2026-04-23,23.2,10.3,16.5,0.1,0.0,0.0,9.7,23.4,51,1008.0,45,24.05,23.5,3,39.34,46.58
gubadli,2026-04-24,20.1,11.8,15.2,0.7,0.0,0.0,14.6,38.5,66,1008.8,51,23.79,21.1,3,39.34,46.58
gubadli,2026-04-25,18.3,9.0,13.6,0.0,0.0,0.0,16.4,31.7,62,1017.1,53,25.48,16.4,3,39.34,46.58
gubadli,2026-04-26,19.4,9.5,13.9,0.0,0.0,0.0,9.1,20.2,78,1014.1,100,19.03,19.2,45,39.34,46.58
gubadli,2026-04-27,24.2,12.4,17.2,17.9,0.5,0.0,10.7,27.7,71,1004.0,96,18.91,23.6,95,39.34,46.58
guba,2026-04-21,9.1,6.4,7.5,5.1,4.9,0.0,11.0,20.5,87,1014.6,100,8.56,6.9,61,41.36,48.51
guba,2026-04-22,13.7,4.7,9.5,0.0,0.0,0.0,15.5,30.2,90,1011.0,53,23.47,12.9,45,41.36,48.51
guba,2026-04-23,8.5,5.9,7.3,0.0,0.0,0.0,8.2,15.5,94,1010.1,83,4.81,6.8,45,41.36,48.51
guba,2026-04-24,9.2,5.3,7.1,0.3,0.3,0.0,7.4,15.1,92,1010.1,100,8.69,7.4,61,41.36,48.51
guba,2026-04-25,9.2,6.0,7.5,1.2,1.2,0.0,12.6,29.9,86,1019.1,98,8.81,6.6,61,41.36,48.51
guba,2026-04-26,19.4,5.9,11.9,0.0,0.0,0.0,8.2,18.7,73,1010.8,100,17.73,18.0,3,41.36,48.51
guba,2026-04-27,19.7,4.1,12.0,14.0,10.9,0.0,13.2,41.4,65,1004.4,70,24.65,19.2,80,41.36,48.51
gusar,2026-04-21,8.6,6.0,6.9,6.3,6.2,0.0,9.5,22.3,87,1014.7,99,8.92,6.1,61,41.43,48.43
gusar,2026-04-22,12.9,3.0,8.7,0.0,0.0,0.0,14.2,33.1,89,1011.1,49,23.88,11.9,45,41.43,48.43
gusar,2026-04-23,8.4,5.3,6.8,0.0,0.0,0.0,7.5,21.6,95,1010.2,83,4.91,6.8,45,41.43,48.43
gusar,2026-04-24,8.8,4.7,6.5,0.3,0.3,0.0,7.6,18.4,91,1010.1,100,10.16,6.9,61,41.43,48.43
gusar,2026-04-25,8.7,5.3,6.9,1.5,1.5,0.0,13.0,34.2,86,1019.2,99,9.48,5.9,61,41.43,48.43
gusar,2026-04-26,16.1,5.5,10.8,0.0,0.0,0.0,7.8,19.1,84,1010.8,100,17.45,16.2,3,41.43,48.43
gusar,2026-04-27,21.2,7.4,12.6,7.4,6.7,0.0,18.7,44.6,79,1004.2,67,23.52,23.5,80,41.43,48.43
gyumri,2026-04-21,11.1,3.8,7.0,4.3,0.0,0.0,20.5,34.9,72,1009.3,91,16.3,8.6,95,40.79,43.84
gyumri,2026-04-22,12.5,0.0,6.3,0.4,0.0,0.0,22.0,40.0,67,1013.3,53,24.29,9.6,80,40.79,43.84
gyumri,2026-04-23,13.4,2.4,8.1,1.8,0.0,0.0,30.3,56.2,71,1008.8,59,18.26,8.9,80,40.79,43.84
gyumri,2026-04-24,10.8,3.8,7.6,15.6,4.2,0.0,20.0,53.6,82,1009.4,98,8.46,7.8,80,40.79,43.84
gyumri,2026-04-25,15.0,2.1,8.2,5.7,3.8,0.0,14.1,33.5,76,1016.8,75,24.11,13.1,3,40.79,43.84
gyumri,2026-04-26,12.9,6.2,9.8,3.3,2.25,0.0,11.9,36.7,84,1013.1,80,14.13,11.6,80,40.79,43.84
gyumri,2026-04-27,11.6,3.1,7.0,8.4,2.4,0.0,17.9,49.3,85,1007.6,94,13.59,10.5,80,40.79,43.84
hajigabul,2026-04-21,14.0,10.7,12.4,8.1,6.8,0.0,16.8,29.2,78,1013.4,99,6.48,12.8,80,40.04,48.93
hajigabul,2026-04-22,21.0,9.2,14.6,0.0,0.0,0.0,19.5,35.3,71,1011.8,43,24.19,18.6,3,40.04,48.93
hajigabul,2026-04-23,20.5,9.5,14.5,0.0,0.0,0.0,28.8,51.1,79,1008.6,37,23.01,20.5,3,40.04,48.93
hajigabul,2026-04-24,17.4,9.3,13.4,0.0,0.0,0.0,14.1,24.8,83,1009.2,57,13.28,16.5,45,40.04,48.93
hajigabul,2026-04-25,17.9,10.1,13.3,0.0,0.0,0.0,24.2,45.0,70,1017.7,43,20.13,15.9,3,40.04,48.93
hajigabul,2026-04-26,18.0,8.7,13.1,0.0,0.0,0.0,11.4,20.5,77,1014.5,81,14.93,17.8,3,40.04,48.93
hajigabul,2026-04-27,26.5,10.4,17.5,0.7,0.0,0.0,20.2,28.1,75,1003.6,39,24.36,29.0,80,40.04,48.93
imishli,2026-04-21,12.9,10.4,11.6,8.3,5.8,0.0,17.5,31.0,86,1013.5,97,4.71,12.4,80,39.87,48.06
imishli,2026-04-22,21.7,8.4,15.0,0.0,0.0,0.0,10.7,21.2,73,1011.8,18,25.31,22.4,2,39.87,48.06
imishli,2026-04-23,24.4,9.5,15.7,0.0,0.0,0.0,27.1,50.4,76,1007.8,26,24.45,24.4,3,39.87,48.06
imishli,2026-04-24,19.1,11.6,14.3,0.0,0.0,0.0,14.8,31.0,78,1009.2,76,11.59,19.6,3,39.87,48.06
imishli,2026-04-25,22.5,10.4,14.9,0.0,0.0,0.0,26.5,53.6,56,1017.2,19,24.83,22.4,3,39.87,48.06
imishli,2026-04-26,18.8,10.6,14.0,0.0,0.0,0.0,11.6,25.6,76,1014.6,86,14.0,18.7,3,39.87,48.06
imishli,2026-04-27,26.3,10.8,17.8,1.0,0.0,0.0,23.0,58.0,68,1003.7,42,24.17,28.3,80,39.87,48.06
ismayilli,2026-04-21,11.2,8.3,9.6,22.9,21.7,0.0,13.6,36.0,95,1013.4,98,5.27,9.3,63,40.78,48.15
ismayilli,2026-04-22,17.5,7.1,11.7,0.0,0.0,0.0,24.1,49.0,78,1011.9,38,24.69,14.1,45,40.78,48.15
ismayilli,2026-04-23,19.8,8.9,14.2,0.0,0.0,0.0,14.8,31.7,74,1008.6,34,24.56,21.5,45,40.78,48.15
ismayilli,2026-04-24,18.2,9.6,13.2,0.0,0.0,0.0,21.3,42.1,86,1008.9,63,17.84,16.1,45,40.78,48.15
ismayilli,2026-04-25,15.9,8.9,11.6,0.6,0.0,0.0,15.0,49.7,84,1017.4,75,15.9,15.5,80,40.78,48.15
ismayilli,2026-04-26,16.8,7.5,12.1,0.0,0.0,0.0,9.4,21.2,85,1014.7,90,16.66,16.4,45,40.78,48.15
ismayilli,2026-04-27,22.8,10.5,16.0,11.3,1.7,0.0,15.1,31.3,82,1003.7,62,23.69,24.3,95,40.78,48.15
jabrayil,2026-04-21,11.2,7.3,8.7,7.1,4.2,0.0,26.5,48.6,87,1013.0,99,5.87,8.7,80,39.4,47.03
jabrayil,2026-04-22,18.3,7.6,12.7,0.0,0.0,0.0,17.9,35.6,77,1012.2,29,25.39,18.3,3,39.4,47.03
jabrayil,2026-04-23,24.4,10.9,16.9,0.0,0.0,0.0,17.9,34.9,58,1007.4,4,26.05,21.9,0,39.4,47.03
jabrayil,2026-04-24,17.8,11.7,14.3,0.1,0.0,0.0,20.6,47.2,71,1008.8,51,22.86,17.2,61,39.4,47.03
jabrayil,2026-04-25,18.1,10.3,13.9,0.0,0.0,0.0,17.0,33.8,56,1017.0,62,25.21,16.2,45,39.4,47.03
jabrayil,2026-04-26,17.0,8.3,12.2,0.0,0.0,0.0,10.0,22.7,86,1014.4,97,17.15,16.8,45,39.4,47.03
jabrayil,2026-04-27,22.9,12.0,16.8,12.2,0.0,0.0,15.5,47.9,69,1003.7,84,20.94,23.4,95,39.4,47.03
jalilabad,2026-04-21,13.1,10.7,11.6,2.9,1.6,0.0,13.7,29.2,84,1013.7,99,5.41,11.2,80,39.21,48.49
jalilabad,2026-04-22,21.2,7.5,13.9,0.0,0.0,0.0,15.7,33.5,75,1012.1,29,24.67,21.5,3,39.21,48.49
jalilabad,2026-04-23,23.9,8.4,15.3,0.0,0.0,0.0,16.0,34.6,81,1008.1,44,24.18,25.5,45,39.21,48.49
jalilabad,2026-04-24,17.9,11.7,14.3,0.0,0.0,0.0,12.6,28.1,87,1009.2,85,11.15,18.3,45,39.21,48.49
jalilabad,2026-04-25,21.0,11.9,14.9,0.0,0.0,0.0,22.9,50.8,57,1017.9,61,23.15,21.5,3,39.21,48.49
jalilabad,2026-04-26,18.7,10.4,13.9,0.0,0.0,0.0,8.5,19.8,83,1014.4,98,14.56,18.2,45,39.21,48.49
jalilabad,2026-04-27,24.8,10.2,16.9,0.6,0.1,0.0,20.7,32.0,80,1003.8,72,23.66,26.6,61,39.21,48.49
julfa,2026-04-21,17.5,10.4,13.2,11.3,0.0,0.0,11.9,26.3,76,1008.7,96,17.48,17.2,95,38.96,45.63
julfa,2026-04-22,20.4,10.0,14.9,0.0,0.0,0.0,6.1,14.8,63,1011.8,49,25.17,20.0,3,38.96,45.63
julfa,2026-04-23,22.7,10.6,16.7,0.0,0.0,0.0,19.2,36.4,52,1009.0,37,23.83,20.8,2,38.96,45.63
julfa,2026-04-24,26.0,11.4,18.2,0.0,0.0,0.0,26.1,48.2,47,1008.4,66,21.43,21.6,3,38.96,45.63
julfa,2026-04-25,25.5,12.0,18.5,0.0,0.0,0.0,13.4,22.0,52,1013.2,64,23.66,25.2,3,38.96,45.63
julfa,2026-04-26,23.6,12.9,17.3,3.45,0.0,0.0,8.0,22.3,56,1011.9,98,20.22,23.4,3,38.96,45.63
julfa,2026-04-27,20.5,12.6,16.3,2.0,0.0,0.0,13.0,36.4,67,1004.5,100,16.9,19.8,80,38.96,45.63
kalbajar,2026-04-21,7.0,2.0,4.3,15.5,14.6,0.0,7.6,16.2,94,1011.9,99,10.11,5.2,63,40.1,46.04
kalbajar,2026-04-22,13.8,3.3,8.3,0.7,0.7,0.0,19.4,40.0,61,1011.5,30,27.33,10.2,61,40.1,46.04
kalbajar,2026-04-23,14.6,3.4,9.1,0.0,0.0,0.0,22.6,50.4,61,1009.0,34,25.57,11.0,3,40.1,46.04
kalbajar,2026-04-24,16.0,6.5,11.3,0.0,0.0,0.0,35.7,73.1,49,1007.7,25,25.97,10.3,3,40.1,46.04
kalbajar,2026-04-25,16.7,7.7,11.4,0.9,0.0,0.0,21.3,42.8,63,1014.9,64,20.6,14.3,3,40.1,46.04
kalbajar,2026-04-26,16.2,7.3,10.8,0.9,0.0,0.0,18.1,45.7,74,1013.3,96,19.02,15.8,80,40.1,46.04
kalbajar,2026-04-27,13.0,6.3,9.9,2.0,0.8,0.0,9.3,36.0,67,1005.5,100,17.58,11.2,63,40.1,46.04
kangarli,2026-04-21,15.9,10.6,12.5,11.9,0.1,0.0,9.2,24.5,79,1008.8,94,16.79,15.3,95,39.39,45.05
kangarli,2026-04-22,19.6,8.8,14.0,0.2,0.0,0.0,6.6,13.0,66,1012.0,56,25.16,19.4,3,39.39,45.05
kangarli,2026-04-23,23.0,9.0,15.9,0.0,0.0,0.0,29.5,53.3,52,1008.9,29,25.38,20.0,3,39.39,45.05
kangarli,2026-04-24,24.2,10.8,17.7,0.0,0.0,0.0,26.2,50.4,46,1008.2,78,22.16,23.5,3,39.39,45.05
kangarli,2026-04-25,25.1,10.9,18.2,0.0,0.0,0.0,19.2,34.2,51,1013.0,76,25.23,23.9,3,39.39,45.05
kangarli,2026-04-26,22.6,13.9,17.4,6.0,0.0,0.0,8.0,23.0,64,1011.6,98,19.49,22.7,81,39.39,45.05
kangarli,2026-04-27,21.3,10.4,15.6,10.1,0.0,0.0,11.6,47.5,72,1004.4,100,17.61,19.5,80,39.39,45.05
khachmaz,2026-04-21,12.8,8.6,10.9,2.8,2.7,0.0,11.0,20.9,81,1014.3,96,8.19,11.8,61,41.46,48.8
khachmaz,2026-04-22,15.4,7.4,10.9,0.0,0.0,0.0,20.8,40.0,84,1011.3,49,23.18,13.2,45,41.46,48.8
khachmaz,2026-04-23,11.9,9.1,10.4,0.0,0.0,0.0,18.7,34.9,84,1009.8,89,6.33,8.9,45,41.46,48.8
khachmaz,2026-04-24,13.9,8.6,10.7,0.0,0.0,0.0,10.7,19.4,77,1009.9,97,12.66,12.0,3,41.46,48.8
khachmaz,2026-04-25,14.1,8.9,10.8,0.9,0.9,0.0,18.8,36.0,76,1018.9,83,12.71,12.3,61,41.46,48.8
khachmaz,2026-04-26,15.5,8.6,11.8,0.0,0.0,0.0,13.2,28.1,83,1011.1,98,13.7,15.1,3,41.46,48.8
khachmaz,2026-04-27,19.4,9.6,13.7,1.3,1.3,0.0,25.8,60.5,82,1004.3,61,22.78,18.0,61,41.46,48.8
khankendi,2026-04-21,8.0,5.1,6.6,13.6,12.9,0.0,10.6,24.1,91,1013.9,99,6.05,6.3,61,39.82,46.75
khankendi,2026-04-22,15.8,4.4,10.4,0.0,0.0,0.0,9.7,26.3,77,1012.7,40,23.36,14.8,3,39.82,46.75
khankendi,2026-04-23,20.4,7.5,14.1,0.4,0.0,0.0,12.3,37.8,64,1008.2,18,24.93,20.6,3,39.82,46.75
khankendi,2026-04-24,16.8,8.6,12.5,0.0,0.0,0.0,17.6,50.4,72,1009.0,73,22.61,16.8,3,39.82,46.75
khankendi,2026-04-25,15.8,6.5,11.1,0.0,0.0,0.0,12.4,34.9,71,1017.4,50,24.48,14.8,3,39.82,46.75
